order_id,customer_id,customer_name,sales_rep,region,country,sales_channel,product_id,product_name,category,order_date,quantity,unit_price,discount,shipping_cost,payment_method,order_status,customer_rating,sales_target,customer_age,customer_segment,warehouse,is_priority,delivery_days,return_reason,gross_sales,discount_amount,net_sales,profit
Ord-10096,Cust-1251,Ramon Azevedo,Grace Taylor,East,Australia,Direct,Prod-100,Phone,Food,2022-11-11,15,2402.75,,97.68,Paypal,Completed,,6581.25,65.0,Enterprise,Wh-02,No,9.0,Wrong Item,36041.25,7893.03375,28148.21625,28050.53625
Ord-10562,Cust-1322,Henrique Costa,Carla Davis,South,Australia,Wholesale,Prod-101,Laptop,Clothing,2024-04-18,18,1340.13,0.184,14.29,Cash,Completed,2.3,4935.76,69.0,Consumer,Wh-02,No,7.0,Customer Changed Mind,24122.340000000004,4438.510560000001,19683.82944,19669.53944
Ord-10779,Cust-1211,Beatriz Oliveira,Bob Smith,North,France,Wholesale,Prod-140,Chair,Clothing,2022-02-07,15,815.03,0.148,9.08,Credit Card,Completed,3.0,3296.7,41.0,Consumer,Wh-01,Yes,7.0,Customer Changed Mind,12225.45,1809.3666,10416.0834,10407.0034
Ord-10340,Cust-1237,Thiago Souza,Frank Miller,North,Brazil,Direct,Prod-109,Desk,Food,2025-08-29,13,373.63,0.19,71.02,Bank Transfer,Completed,2.6,6130.31,18.0,Enterprise,Wh-01,No,7.0,,4857.19,922.8661,3934.3239,3863.3039
Ord-10376,Cust-1180,Diego Ramos,Bob Smith,West,Brazil,Direct,Prod-133,Tablet,Office Supplies,2022-02-26,3,669.07,0.021,74.02,Paypal,Completed,1.4,897.7,19.0,Small Business,Wh-01,Yes,13.0,Wrong Item,2007.21,42.151410000000006,1965.05859,1891.03859
Ord-10538,Cust-1393,Lucas Pereira,Alice Johnson,West,France,Wholesale,Prod-103,Monitor,Clothing,2022-10-26,10,2000.2,0.014,142.34,Debit Card,Cancelled,,9535.53,69.0,Small Business,Wh-03,No,1.0,Damaged,20002.0,280.028,19721.972,19579.632
Ord-10650,Cust-1056,Bruno Pereira,Emma Wilson,West,Brazil,Retail,Prod-137,Chair,Electronics,2023-12-11,16,1975.76,0.193,104.93,Credit Card,Completed,1.8,3052.41,20.0,Consumer,Wh-01,No,10.0,Wrong Item,31612.16,6101.14688,25511.01312,25406.08312
Ord-10452,Cust-1052,Daniel Ramos,Carla Davis,South,Germany,Retail,Prod-140,Phone,Office Supplies,2025-09-30,10,1988.02,0.085,114.38,Cash,Completed,3.3,5539.97,51.0,Corporate,Wh-03,No,14.0,Wrong Item,19880.2,1689.8170000000002,18190.383,18076.003
Ord-10958,Cust-1106,Matheus Nogueira,Daniel Brown,West,Uk,Direct,Prod-122,Headphones,Electronics,2022-09-14,18,2447.43,0.219,48.53,Credit Card,Completed,2.3,5752.26,27.0,Corporate,Wh-03,No,7.0,Late Delivery,44053.74,9647.76906,34405.97094,34357.44094
Ord-10383,Cust-1160,Pedro Gomes,,East,Canada,Online,Prod-121,Printer,Clothing,2022-03-17,15,429.48,0.143,144.65,Debit Card,Completed,2.2,2934.97,48.0,Enterprise,Wh-01,No,9.0,Late Delivery,6442.200000000001,921.2346,5520.965400000001,5376.315400000001
Ord-10644,Cust-1395,Felipe Santos,Bob Smith,West,Brazil,Direct,Prod-110,Coffee Maker,Office Supplies,2024-09-17,10,14.4,0.022,119.84,Bank Transfer,Completed,3.3,7861.22,37.0,Enterprise,Wh-03,No,7.0,Late Delivery,144.0,3.168,140.832,20.99199999999999
Ord-10751,Cust-1053,Rodrigo Silva,Alice Johnson,Central,Canada,Online,Prod-124,Monitor,Electronics,2022-07-17,18,628.44,0.282,24.64,Debit Card,Completed,1.7,501.67,65.0,Small Business,Wh-01,No,9.0,Customer Changed Mind,11311.920000000002,3189.96144,8121.958560000002,8097.3185600000015
Ord-10992,Cust-1238,Lucas Rocha,,Central,France,Online,Prod-102,Chair,Electronics,2025-12-11,5,2097.55,0.28,23.67,,Completed,1.6,9860.9,23.0,Consumer,Wh-04,No,4.0,,10487.75,2936.57,7551.18,7527.51
Ord-10305,Cust-1115,Mariana Cardoso,Bob Smith,East,Uk,Retail,Prod-113,Tablet,Electronics,2025-07-15,18,,0.101,36.88,Cash,Completed,1.1,3349.46,61.0,Small Business,Wh-01,No,2.0,Damaged,41263.74,4167.63774,37096.10226,37059.22226
Ord-11167,Cust-1124,Henrique Azevedo,Emma Wilson,Central,Germany,Direct,Prod-148,Monitor,Office Supplies,2024-10-31,4,1817.83,0.017,34.46,Bank Transfer,Completed,2.2,7074.71,61.0,Small Business,Wh-03,No,12.0,Damaged,7271.32,123.61244,7147.70756,7113.24756
Ord-10100,Cust-1156,Leonardo Ribeiro,Bob Smith,East,Usa,Direct,Prod-116,Mouse,Food,2023-07-14,15,68.55,0.086,33.67,Cash,Returned,3.6,7803.19,25.0,Consumer,Wh-01,Yes,14.0,Customer Changed Mind,1028.25,88.42949999999999,939.8205,906.1505
Ord-10620,Cust-1083,Laura Ferreira,Alice Johnson,South,Brazil,Wholesale,Prod-117,Coffee Maker,Electronics,2022-10-26,16,2460.68,0.171,78.83,Cash,Cancelled,4.0,3038.25,48.0,Enterprise,Wh-03,Yes,12.0,Damaged,39370.88,6732.42048,32638.45952,32559.629519999995
Ord-10449,Cust-1053,Daniel Azevedo,Daniel Brown,North,France,Retail,Prod-101,Notebook,,2022-01-14,15,1498.6,0.05,89.18,,Completed,1.8,9620.31,48.0,Consumer,Wh-03,No,6.0,Damaged,22479.0,1123.95,21355.05,21265.87
Ord-10569,Cust-1396,Bianca Cardoso,Daniel Brown,West,,Online,Prod-128,Desk,Food,2025-06-11,1,1984.28,0.234,82.02,,Completed,3.4,8196.46,52.0,Small Business,Wh-03,Yes,8.0,Late Delivery,1984.28,464.32152,1519.95848,1437.93848
Ord-10849,Cust-1249,Gabriel Moreira,Carla Davis,North,Germany,Retail,Prod-149,Headphones,Clothing,2024-03-24,6,358.17,0.273,116.0,Cash,Completed,1.0,7158.83,30.0,Corporate,Wh-04,Yes,12.0,Customer Changed Mind,2149.02,586.68246,1562.33754,1446.33754
Ord-11149,Cust-1164,Juliana Azevedo,Alice Johnson,South,Uk,Wholesale,Prod-113,Phone,Furniture,2022-09-21,17,188.59,0.024,63.68,Credit Card,Completed,1.9,2459.17,37.0,Small Business,Wh-02,No,12.0,Late Delivery,3206.03,76.94472,3129.08528,3065.4052800000004
Ord-10720,Cust-1189,Matheus Dias,Frank Miller,East,Canada,Wholesale,Prod-146,Desk,Food,2024-10-04,8,1568.08,0.16,67.04,Debit Card,Completed,1.3,5884.78,31.0,Small Business,Wh-01,No,8.0,Customer Changed Mind,12544.64,2007.1424,10537.4976,10470.457599999998
Ord-10728,Cust-1172,Larissa Gomes,Frank Miller,East,Brazil,Wholesale,Prod-129,Mouse,Furniture,2024-08-16,15,49.5,0.224,17.62,Cash,Completed,4.5,6354.4,35.0,Small Business,Wh-01,No,6.0,Wrong Item,742.5,166.32,576.1800000000001,558.5600000000001
Ord-10918,Cust-1387,Natalia Souza,Carla Davis,South,Brazil,Wholesale,Prod-135,Monitor,Furniture,2023-09-08,13,11.74,0.068,143.81,Bank Transfer,Completed,2.6,7618.68,73.0,Corporate,Wh-02,Yes,10.0,Late Delivery,152.62,10.37816,142.24184,-1.568160000000006
Ord-10831,Cust-1082,Larissa Teixeira,Carla Davis,West,France,Retail,Prod-114,Chair,Food,2023-09-29,7,992.36,0.169,117.03,Bank Transfer,Pending,3.1,1766.75,34.0,Corporate,Wh-02,No,4.0,Late Delivery,6946.52,1173.96188,5772.558120000001,5655.528120000001
Ord-10323,Cust-1168,Manuela Freitas,Henry Moore,Central,Uk,Direct,Prod-125,Chair,Furniture,2023-08-27,,440.75,0.104,71.26,,Completed,4.5,3583.7,26.0,Consumer,Wh-04,No,2.0,Wrong Item,7052.0,733.408,6318.592,6247.331999999999
Ord-10955,Cust-1238,Renata Mendes,Frank Miller,South,Uk,Online,Prod-144,Phone,Electronics,2022-11-07,1,,0.08,15.36,Credit Card,Completed,2.4,9282.7,25.0,Consumer,Wh-03,No,2.0,,715.1,57.208000000000006,657.892,642.532
Ord-10908,Cust-1370,Matheus Pereira,Carla Davis,South,Australia,Wholesale,Prod-100,Mouse,Food,2025-05-13,10,993.91,0.212,132.97,Debit Card,Pending,1.5,1922.39,67.0,Enterprise,Wh-03,No,14.0,,9939.1,2107.0892,7832.0108,7699.0408
Ord-10196,Cust-1258,Fernanda Mendes,Carla Davis,West,Australia,Retail,Prod-110,Laptop,Office Supplies,2023-02-25,19,1478.0,0.109,52.5,Cash,Completed,4.0,4543.4,35.0,Corporate,Wh-04,No,10.0,,28082.0,3060.938,25021.062,24968.562
Ord-10548,Cust-1246,Sofia Castro,Alice Johnson,Central,Canada,Wholesale,Prod-108,Headphones,Office Supplies,2022-04-19,14,1008.32,0.166,120.59,Credit Card,Completed,2.6,6145.41,73.0,Consumer,Wh-02,No,7.0,Damaged,14116.48,2343.33568,11773.14432,11652.55432
Ord-10544,Cust-1003,Patricia Santos,Emma Wilson,Central,Brazil,Wholesale,Prod-107,Phone,Food,2024-05-23,10,601.07,,54.22,Credit Card,Completed,2.3,4671.0,42.0,Small Business,Wh-03,No,5.0,Wrong Item,6010.700000000001,348.6206000000001,5662.0794000000005,5607.8594
Ord-11051,Cust-1151,Beatriz Lima,Daniel Brown,South,Canada,Online,Prod-123,Desk,Electronics,2023-04-12,16,1060.57,0.2,49.35,Debit Card,Returned,4.2,2712.67,29.0,Enterprise,Wh-02,Yes,5.0,,16969.12,3393.824,13575.295999999998,13525.945999999998
Ord-10756,Cust-1329,Lucas Moraes,Grace Taylor,North,Brazil,Wholesale,Prod-121,Phone,Food,2024-05-08,14,190.46,0.248,146.09,Cash,Completed,2.9,6980.91,36.0,Enterprise,Wh-04,No,12.0,Customer Changed Mind,2666.44,661.27712,2005.16288,1859.07288
Ord-10877,Cust-1097,Priscila Gomes,Carla Davis,West,France,Wholesale,Prod-110,Keyboard,Food,2022-12-02,12,1505.29,0.206,93.91,Debit Card,Completed,3.2,8536.05,47.0,Corporate,Wh-01,No,3.0,Wrong Item,18063.48,3721.07688,14342.40312,14248.49312
Ord-10224,Cust-1186,Camila Lima,Carla Davis,South,Usa,Retail,Prod-122,Printer,Office Supplies,2025-12-08,7,1570.75,0.146,9.43,Bank Transfer,Pending,1.6,1469.59,29.0,Consumer,Wh-02,Yes,1.0,Late Delivery,10995.25,1605.3065,9389.9435,9380.5135
Ord-10752,Cust-1373,Isabela Moraes,Carla Davis,East,Germany,Wholesale,Prod-129,Mouse,Office Supplies,2022-07-24,,,0.18,112.99,,Completed,4.2,2044.76,30.0,Corporate,Wh-04,No,5.0,,7712.3,1388.214,6324.086,6211.0960000000005
Ord-10977,Cust-1027,Rafael Nogueira,Bob Smith,,Uk,Online,Prod-115,Headphones,Clothing,2023-08-09,19,988.0,0.006,26.01,Credit Card,Completed,2.1,9250.9,34.0,Enterprise,Wh-02,No,11.0,Damaged,18772.0,112.632,18659.368,18633.358
Ord-11040,Cust-1149,Vinicius Pereira,Bob Smith,Central,Usa,Online,Prod-136,Chair,Clothing,2025-02-09,9,385.67,0.162,118.74,Bank Transfer,Completed,2.3,9832.42,68.0,Consumer,Wh-02,Yes,8.0,Late Delivery,3471.03,562.30686,2908.72314,2789.9831400000003
Ord-10656,Cust-1397,Lucas Dias,Carla Davis,East,Canada,Retail,Prod-129,Notebook,Furniture,2025-03-15,19,1131.26,0.088,85.95,Paypal,Completed,3.7,2694.15,18.0,Consumer,Wh-02,No,3.0,,21493.94,1891.46672,19602.47328,19516.52328
Ord-10055,Cust-1264,Aline Lima,Frank Miller,Central,Uk,Retail,Prod-124,Monitor,Electronics,2024-04-29,3,1592.89,0.298,105.93,Cash,Completed,1.5,1739.95,34.0,Enterprise,Wh-04,No,8.0,Customer Changed Mind,4778.67,1424.04366,3354.62634,3248.69634
Ord-10523,Cust-1038,Gustavo Silva,Frank Miller,East,Germany,Retail,Prod-125,Mouse,Furniture,,16,259.68,0.265,145.22,Bank Transfer,Completed,1.8,3838.23,50.0,Enterprise,Wh-03,No,5.0,Late Delivery,4154.88,1101.0432,3053.8368,2908.6168
Ord-10036,Cust-1189,Priscila Santos,Henry Moore,East,Usa,Online,Prod-112,Laptop,Electronics,2024-09-20,8,1221.86,0.129,81.72,Credit Card,Completed,2.2,1219.53,21.0,Corporate,Wh-04,No,14.0,Damaged,9774.88,1260.95952,8513.920479999999,8432.20048
Ord-11083,Cust-1323,Rafael Monteiro,Daniel Brown,South,France,Wholesale,Prod-148,Phone,Office Supplies,2023-07-20,15,2386.23,0.257,78.48,Paypal,Completed,2.6,4450.96,38.0,Enterprise,Wh-02,No,11.0,,35793.45,9198.91665,26594.53335,26516.05335
Ord-10528,Cust-1356,Natalia Freitas,Alice Johnson,West,Germany,Direct,Prod-134,Printer,Clothing,2024-12-17,14,2277.64,0.163,73.46,,Completed,3.4,3946.17,73.0,Consumer,Wh-01,No,8.0,,31886.96,5197.57448,26689.38552,26615.92552
Ord-11098,Cust-1138,Leonardo Freitas,Grace Taylor,East,France,Wholesale,Prod-136,Laptop,Clothing,2022-01-12,4,1032.93,0.062,60.21,Debit Card,Completed,1.8,8969.73,18.0,Enterprise,Wh-01,No,12.0,Customer Changed Mind,4131.72,256.16664000000003,3875.55336,3815.34336
Ord-10199,Cust-1136,Camila Santos,Frank Miller,West,Germany,Online,Prod-103,Mouse,Clothing,2023-03-15,2,,0.053,9.73,Credit Card,Completed,4.6,4458.83,73.0,Small Business,Wh-03,No,4.0,Late Delivery,1312.54,69.56461999999999,1242.97538,1233.2453799999998
Ord-10866,Cust-1228,Murilo Gomes,Daniel Brown,South,Brazil,Retail,Prod-148,Chair,Office Supplies,2022-01-17,2,661.36,0.254,110.96,,Returned,,7765.96,34.0,Small Business,Wh-04,No,13.0,,1322.72,335.97088,986.74912,875.7891199999999
Ord-10324,Cust-1160,Lucas Azevedo,Daniel Brown,Central,Brazil,Wholesale,Prod-107,Keyboard,Clothing,2023-08-29,18,,0.146,33.59,Debit Card,Completed,1.2,4481.05,63.0,Corporate,Wh-03,Yes,3.0,Late Delivery,38209.14,5578.534439999999,32630.60556,32597.01556
Ord-11111,Cust-1167,Rafael Santana,Carla Davis,West,Australia,Direct,Prod-101,Laptop,Clothing,2023-04-26,3,817.64,0.024,4.86,Bank Transfer,Completed,4.6,6384.5,33.0,Consumer,Wh-04,No,4.0,Damaged,2452.92,58.87008,2394.04992,2389.18992
Ord-10319,Cust-1193,Sofia Mendes,Alice Johnson,West,Brazil,Direct,Prod-145,Headphones,Electronics,2024-08-12,2,1074.95,0.019,7.11,Paypal,Completed,4.5,8796.97,48.0,Small Business,Wh-01,Yes,8.0,Late Delivery,2149.9,40.8481,2109.0519,2101.9419
Ord-11154,Cust-1061,Aline Dias,Henry Moore,Central,Australia,Direct,Prod-106,Headphones,Furniture,2023-09-25,15,,0.003,23.14,Paypal,Cancelled,3.6,7368.5,,Small Business,Wh-03,No,5.0,,29231.55,87.69465,29143.85535,29120.71535
Ord-10437,Cust-1062,Pedro Costa,Alice Johnson,West,France,Online,Prod-139,Headphones,Food,2023-03-19,1,1332.67,0.217,94.43,Debit Card,Completed,3.1,5456.99,67.0,Consumer,Wh-02,Yes,4.0,Late Delivery,1332.67,289.18939,1043.48061,949.05061
Ord-10477,Cust-1091,Juliana Oliveira,,North,Germany,Wholesale,Prod-142,Mouse,Furniture,2022-04-03,7,1227.12,0.039,105.8,Credit Card,,2.2,2929.46,39.0,Consumer,Wh-04,Yes,2.0,Damaged,8589.84,335.00376,8254.83624,8149.03624
Ord-10141,Cust-1254,Luana Freitas,Grace Taylor,North,France,Direct,Prod-110,Headphones,Office Supplies,2024-04-21,1,1596.07,0.111,77.92,Paypal,Completed,2.0,6708.65,60.0,Small Business,Wh-04,No,12.0,Customer Changed Mind,1596.07,177.16377,1418.90623,1340.98623
Ord-10470,Cust-1105,Ramon Ferreira,Bob Smith,West,Uk,Online,Prod-144,Phone,Office Supplies,2023-05-12,6,1587.06,0.005,135.11,Cash,Pending,4.3,4335.12,21.0,Small Business,Wh-01,No,10.0,Late Delivery,9522.36,47.6118,9474.7482,9339.6382
Ord-10777,Cust-1144,Juliana Silva,Bob Smith,North,France,Direct,Prod-119,Headphones,Clothing,2023-07-31,13,,0.198,24.34,Paypal,Completed,3.8,7185.66,68.0,Consumer,Wh-01,No,7.0,Customer Changed Mind,19662.37,3893.14926,15769.22074,15744.88074
Ord-10132,Cust-1359,Larissa Freitas,Bob Smith,East,Brazil,Retail,Prod-145,Printer,,2025-04-04,11,877.88,0.124,10.79,Bank Transfer,Pending,3.7,9865.14,33.0,Corporate,Wh-01,No,7.0,Damaged,9656.68,1197.42832,8459.251680000001,8448.46168
Ord-10626,Cust-1018,Pedro Teixeira,Henry Moore,North,Uk,Online,Prod-144,Monitor,Office Supplies,2025-05-19,4,519.03,0.254,113.84,Credit Card,Completed,2.4,9875.19,47.0,Corporate,Wh-01,No,2.0,Damaged,2076.12,527.33448,1548.78552,1434.94552
Ord-10856,Cust-1053,Luana Freitas,Frank Miller,West,Brazil,Wholesale,Prod-146,Mouse,Furniture,2023-07-12,12,80.7,0.119,120.89,Cash,Completed,1.7,3027.75,68.0,Enterprise,Wh-04,No,11.0,Late Delivery,968.4,115.2396,853.1604000000001,732.2704000000001
Ord-11089,Cust-1139,Patricia Correia,Grace Taylor,North,Australia,Direct,Prod-146,Phone,Furniture,2024-07-05,13,,0.153,33.95,Bank Transfer,Completed,3.8,9080.48,19.0,Small Business,Wh-02,Yes,3.0,Customer Changed Mind,29822.65,4562.86545,25259.78455,25225.83455
Ord-10580,Cust-1263,Beatriz Freitas,Frank Miller,West,Australia,Retail,Prod-144,Headphones,Clothing,2022-06-29,19,2086.17,0.148,129.78,Cash,Completed,4.6,3260.5,33.0,Consumer,Wh-01,No,6.0,Damaged,39637.23,5866.31004,33770.91996,33641.13996
Ord-10705,Cust-1038,Eduardo Rocha,Emma Wilson,Central,Uk,Direct,Prod-122,Printer,Electronics,2022-07-27,11,196.14,0.063,59.52,Credit Card,Completed,2.8,3584.15,48.0,Consumer,Wh-03,No,3.0,Damaged,2157.54,135.92502,2021.61498,1962.09498
Ord-10640,Cust-1143,Juliana Cardoso,Emma Wilson,North,Usa,Online,Prod-124,Notebook,Electronics,2025-10-04,8,941.57,0.053,13.16,Credit Card,Returned,3.2,3105.66,35.0,Enterprise,Wh-01,No,12.0,,7532.56,399.22568,7133.33432,7120.17432
Ord-10791,Cust-1302,Leticia Moreira,Henry Moore,North,Uk,Direct,Prod-121,Mouse,Electronics,,3,475.61,0.1,77.59,Debit Card,Completed,4.7,4358.18,42.0,Enterprise,Wh-04,Yes,3.0,Customer Changed Mind,1426.83,142.683,1284.147,1206.557
Ord-10942,Cust-1011,Diego Gomes,Alice Johnson,West,Germany,Retail,Prod-136,Laptop,Office Supplies,2023-07-20,16,2396.57,0.095,128.49,Bank Transfer,Completed,,6016.14,29.0,Enterprise,Wh-02,No,6.0,,38345.12,3642.7864,34702.333600000005,34573.84360000001
Ord-10900,Cust-1033,Caio Silva,Emma Wilson,West,Brazil,Wholesale,Prod-134,Keyboard,Office Supplies,2024-06-30,4,2089.09,0.124,105.22,Debit Card,Completed,3.3,6293.77,67.0,Consumer,Wh-04,No,7.0,Wrong Item,8356.36,1036.18864,7320.17136,7214.95136
Ord-10079,Cust-1201,Juliana Rocha,Carla Davis,West,France,Retail,Prod-122,Laptop,Office Supplies,2023-06-24,17,1473.52,0.187,115.91,,Completed,2.4,8874.78,56.0,Consumer,Wh-01,No,13.0,Customer Changed Mind,25049.84,4684.32008,20365.51992,20249.60992
Ord-10766,Cust-1089,Natalia Santana,Daniel Brown,West,Brazil,Online,Prod-103,Desk,Office Supplies,2024-12-23,12,925.8,0.239,120.79,Credit Card,Completed,1.4,5208.81,,Enterprise,Wh-04,No,14.0,,11109.6,2655.1943999999994,8454.405599999998,8333.615599999997
Ord-10326,Cust-1288,Amanda Azevedo,Daniel Brown,West,Australia,Online,Prod-115,Coffee Maker,Food,2025-05-07,13,1498.42,0.29,38.11,Bank Transfer,Completed,4.1,3857.28,19.0,Consumer,Wh-03,No,3.0,Wrong Item,19479.46,5649.0434,13830.4166,13792.3066
Ord-11169,Cust-1022,Henrique Ramos,Daniel Brown,South,Uk,Retail,Prod-125,Headphones,Clothing,2022-06-15,16,1556.8,0.257,120.68,Paypal,Pending,4.3,3887.47,22.0,Corporate,Wh-03,No,1.0,Customer Changed Mind,24908.8,6401.5616,18507.2384,18386.5584
Ord-10394,Cust-1173,Ramon Ribeiro,Henry Moore,West,Germany,Online,Prod-125,Phone,Furniture,2023-04-14,6,1638.14,0.123,28.86,Bank Transfer,Completed,4.7,1794.63,26.0,Small Business,Wh-04,No,4.0,Damaged,9828.84,1208.94732,8619.89268,8591.03268
Ord-10332,Cust-1134,Juliana Moraes,Henry Moore,Central,Germany,Direct,Prod-112,Headphones,Furniture,2024-07-30,15,399.53,0.182,17.46,Debit Card,Completed,3.2,3212.35,39.0,Consumer,Wh-04,No,8.0,Late Delivery,5992.95,1090.7169,4902.2331,4884.773099999999
Ord-11133,Cust-1034,Diego Ribeiro,Alice Johnson,West,Australia,Wholesale,Prod-100,Mouse,Office Supplies,2024-11-09,5,1268.39,0.161,4.35,Paypal,Completed,1.0,4252.12,26.0,Corporate,Wh-03,No,11.0,Late Delivery,6341.950000000001,1021.05395,5320.89605,5316.54605
Ord-10717,Cust-1000,Henrique Rocha,Grace Taylor,South,Germany,Retail,Prod-107,Headphones,Office Supplies,2024-06-29,1,1610.98,0.031,17.76,Credit Card,Completed,2.5,8820.29,32.0,Enterprise,Wh-02,Yes,11.0,Customer Changed Mind,1610.98,49.94038,1561.03962,1543.27962
Ord-10187,Cust-1230,Isabela Santos,Carla Davis,West,Uk,Direct,Prod-106,Phone,Office Supplies,2024-04-06,2,537.34,0.096,26.77,Bank Transfer,Completed,2.3,9517.25,48.0,Corporate,Wh-04,No,6.0,Damaged,1074.68,103.16928,971.51072,944.74072
Ord-10541,Cust-1095,Diego Cardoso,Emma Wilson,North,France,Online,Prod-109,Printer,Office Supplies,2022-11-28,10,667.7,0.125,93.18,Credit Card,Returned,2.9,5645.84,51.0,Consumer,Wh-03,Yes,6.0,Wrong Item,6677.0,834.625,5842.375,5749.195
Ord-10139,Cust-1004,Eduardo Freitas,Bob Smith,West,Australia,Online,Prod-129,Chair,Office Supplies,2024-04-29,16,,0.189,3.62,Paypal,Returned,2.4,7951.46,53.0,Consumer,Wh-01,No,7.0,Damaged,26988.48,5100.82272,21887.65728,21884.03728
Ord-10783,Cust-1045,Diego Gomes,Henry Moore,Central,Brazil,Direct,Prod-104,Desk,Office Supplies,2024-09-14,15,574.88,0.14,64.4,Cash,Cancelled,3.6,6211.04,24.0,Consumer,Wh-04,No,14.0,Customer Changed Mind,8623.2,1207.2480000000005,7415.952,7351.552000000001
Ord-11148,Cust-1212,Gustavo Santos,Emma Wilson,West,Brazil,Online,Prod-140,Chair,Furniture,2024-01-10,3,1836.07,0.018,112.94,Cash,Completed,4.6,3258.05,41.0,Consumer,Wh-03,No,12.0,,5508.21,99.14778,5409.06222,5296.12222
Ord-10893,Cust-1387,Priscila Dias,Daniel Brown,North,Brazil,Direct,Prod-114,Monitor,Clothing,2025-09-07,8,1123.33,0.219,106.12,Debit Card,Completed,2.7,1718.68,70.0,Enterprise,Wh-04,Yes,8.0,Damaged,8986.64,1968.07416,7018.565839999999,6912.445839999999
Ord-10743,Cust-1019,Daniel Nogueira,Emma Wilson,East,Uk,Online,Prod-137,Printer,Clothing,2023-06-17,16,1783.37,0.05,80.54,Cash,Completed,1.5,9082.72,27.0,Small Business,Wh-02,Yes,12.0,Wrong Item,28533.92,1426.696,27107.224,27026.684
Ord-11121,Cust-1037,Aline Dias,Bob Smith,East,Germany,Online,Prod-142,Keyboard,Food,2023-02-20,18,690.6,0.077,111.82,Debit Card,Pending,3.6,7959.55,24.0,Consumer,Wh-04,No,1.0,,12430.8,957.1716,11473.6284,11361.808400000002
Ord-10287,Cust-1001,Isabela Castro,Emma Wilson,Central,France,Retail,Prod-124,Desk,Clothing,2025-03-12,1,2486.43,0.102,85.54,Paypal,Completed,2.0,7646.56,63.0,Enterprise,Wh-01,No,4.0,,2486.43,253.61586,2232.81414,2147.27414
